1100000000110110100000000000000000000000000000000000000000000000_000_0111111111110000000000000000000000000000000000000000000000000000   // -5 + INF
0100000000110110100000000000000000000000000000000000000000000000_000_1111111111110000000000000000000000000000000000000000000000000000   // 5 + -INF
0111111111110000000000000000000000000000000000000000000000000000_000_0100000000110110100000000000000000000000000000000000000000000000   // INF + 5
0011111111111100000000000000000000000000000000000000000000000000_000_0011111111111100000000000000000000000000000000000000000000000000   // 1.75 + 1.75
0100000000000001100110011001100110011001100110011001100110011010_000_0100000000110110100000000000000000000000000000000000000000000000   // 2.2 + 22.5 
0011111111110000000000000000000000000000000000000000000000000000_000_0100000100101110100001001000000000000000000000000000000000000000   // 1 + 1000000
0100000000100100000000000000000000000000000000000000000000000000_000_1100000100101110100001001000000000000000000000000000000000000000   // 10 + -1000000
0011111111111000000000000000000000000000000000000000000000000000_000_1100000000000000000000000000000000000000000000000000000000000000   // 1.5 + -2
0100000000000001100110011001100110011001100110011001100110011010_000_1100000000110100000000000000000000000000000000000000000000000000   // 2.2 + -20
0011111111100011011011101001110111010111111011001011101110000000_000_1011111111010011011011101001110111010111111011001011101110000000   // 0.607253 + -0.3036265
0100000000101111000000000000000000000000000000000000000000000000_001_0100000001001110011001100110011001100110011001100110011001100110   // 15.5 - 60.8
0100000000101101101000111101011100001010001111010111000010100100_001_1100000010111100111010000001110001101010011111101111100111011011   // 14.82 - -7400.111
1100000010111011010110001101101001000000000011111011101010001000_001_1100000011001100001001110111111111010101011001101100111101000010   // -7000.85254 - -14414.9987
0100000110010001101011011010001010111010010000011000100100110111_001_0100000010000010110001000111101011100001010001111010111000010100   // 74148014.564 - 600.56
1100000000011001100110011001100110011001100110011001100110011010_001_0100000001001011100011001100110011001100110011001100110011001101   // -6.4-55.1
0100000010000001100100101111001100011000111111000101000001001000_001_0100000011001100011111101100001111010111000010100011110101110001   // 562.3687 - 14589.53
1100000010000101100011000111101011100001010001111010111000010100_001_1100000100100001111100010111100111001011011110000000001101000111   // -689.56 - -587964.8974
0100000010111110000010011000111101011100001010001111010111000011_001_0100000011101100110010101001110010110100001110010101100000010000   // 7689.56 - 58964.897
1100000000001100000000000000000000000000000000000000000000000000_001_1100000000011000000000000000000000000000000000000000000000000000   // -3.5 - -6
1011111111111000111111111000011101101001111011000010110011100100_001_0100000000100111001010000110010110010100101011110100111100001110   // -1.562385 - 11.5789
0100000001010110100000000000000000000000000000000000000000000000_100_0000000000000000000000000000000000000000000000000000000000000000   // sin(90)
0100000001010110001110011001100110011001100110011001100110011010_100_0000000000000000000000000000000000000000000000000000000000000000   // sin(88.9)
1100000001010010110000000000000000000000000000000000000000000000_100_0000000000000000000000000000000000000000000000000000000000000000   // sin(-75)
0100000001001110000000000000000000000000000000000000000000000000_100_0000000000000000000000000000000000000000000000000000000000000000   // sin(60)
